monetary_goal,finish_date,poverty_level
4974.27,02/05/2025,high
2783.22,02/03/2024,low
3565.96,25/09/2024,mid
984.63,10/08/2023,mid
3190.99,18/05/2025,low
1508.47,09/10/2024,mid
4506.43,23/12/2024,high
4067.94,10/05/2024,low
1141.5,04/11/2023,mid
2614.76,10/04/2024,low
734.67,19/02/2024,low
1315.35,04/03/2025,low
4719.23,24/10/2024,high
1698.73,12/10/2024,high
870.62,18/02/2024,low
1668.74,15/11/2023,high
2375.09,03/06/2024,low
2165.62,05/11/2024,high
2309.37,29/01/2025,mid
3913.35,02/03/2024,high
2391.6,20/01/2025,mid
1547.04,11/12/2024,high
1265.12,20/12/2023,mid
2968.19,18/10/2023,high
4840.53,10/06/2024,low
4962.67,27/11/2024,mid
3161.68,22/10/2024,high
3308.14,24/11/2023,high
1483.11,12/02/2025,mid
4965.12,17/07/2023,high
2898.78,17/08/2023,high
2828.05,01/07/2024,low
1078.06,05/11/2023,mid
1297.0,27/11/2023,mid
2735.17,12/01/2024,mid
4418.37,09/03/2024,mid
3706.7,15/11/2024,mid
2841.18,17/09/2023,high
3712.09,11/02/2024,mid
4426.09,03/05/2024,low
1104.86,01/02/2025,low
2371.43,01/11/2024,high
2068.18,09/08/2023,mid
2238.31,06/11/2024,mid
1617.37,18/02/2024,low
4874.18,27/10/2023,mid
1553.55,18/11/2024,mid
3648.78,11/11/2024,mid
4100.93,09/03/2024,low
3949.1,16/04/2024,high
2825.88,13/08/2023,mid
1784.14,02/08/2023,high
4271.43,20/11/2023,mid
4645.69,02/01/2025,low
1020.36,14/01/2025,low
2721.08,27/06/2024,mid
3302.5,30/05/2024,mid
3395.21,09/03/2024,mid
4430.54,14/02/2024,high
2595.1,15/04/2024,low
3198.68,21/11/2024,mid
528.34,09/04/2025,mid
4002.33,17/12/2024,high
1694.09,10/07/2024,low
4429.15,13/11/2024,low
3477.46,21/07/2024,high
3928.52,31/10/2024,mid
2182.48,16/12/2023,high
777.73,02/03/2024,low
2205.52,04/11/2023,mid
851.85,21/01/2024,high
3644.72,20/09/2024,low
2216.75,23/09/2023,low
4576.27,04/08/2023,mid
4082.6,14/02/2024,high
2994.8,31/07/2024,high
4461.21,07/07/2024,mid
2143.54,28/03/2024,low
1607.88,02/01/2024,mid
3899.39,23/06/2023,high
3523.64,09/01/2024,low
3744.32,15/06/2024,high
4806.06,28/07/2023,low
521.16,21/09/2023,low
2821.48,27/03/2024,mid
708.11,25/08/2023,high
3759.05,19/09/2023,low
2349.28,28/12/2023,low
3439.52,04/10/2023,high
2937.97,29/08/2024,low
3761.05,19/04/2025,mid
4735.47,04/02/2024,high
1479.26,24/03/2024,high
1499.63,23/04/2025,mid
4232.83,23/07/2024,mid
1114.64,18/02/2025,high
2043.58,08/07/2023,high
3501.77,27/04/2025,high
1227.72,26/07/2024,mid
3931.41,12/10/2023,high
4821.99,03/11/2024,mid
3871.0,23/04/2025,low
2587.1,28/07/2023,mid
1396.34,26/08/2023,high
1231.02,25/10/2023,mid
615.05,13/05/2024,mid
4087.08,31/08/2023,low
1858.98,04/02/2024,mid
1777.56,01/01/2025,high
3201.5,28/03/2025,low
1850.75,25/10/2024,mid
4378.03,10/03/2025,low
812.44,12/12/2024,low
3348.56,06/06/2025,mid
2335.64,27/09/2023,low
1641.52,24/04/2024,low
756.6,23/10/2024,mid
4092.44,26/07/2024,high
2430.16,25/07/2024,low
601.69,14/05/2025,high
1502.85,04/07/2023,low
4159.95,28/10/2023,low
4076.41,19/08/2024,mid
3670.29,10/04/2024,mid
3109.02,06/03/2024,low
2807.58,02/11/2023,high
4954.37,10/08/2024,high
3418.82,31/05/2024,mid
2311.66,13/08/2023,mid
3791.07,15/02/2024,high
3230.73,11/07/2023,mid
4295.59,13/02/2024,low
4636.09,29/07/2024,mid
3054.54,19/12/2023,high
2456.29,12/01/2025,high
2505.18,17/02/2024,high
2103.74,01/12/2024,low
2498.56,28/10/2024,low
4745.63,11/10/2024,mid
2777.69,24/02/2025,mid
1520.6,20/03/2024,low
3485.88,16/11/2024,high
787.22,23/09/2023,high
2651.53,17/06/2023,low
3704.68,11/07/2023,mid
731.48,13/10/2024,mid
1274.61,03/08/2023,mid
3229.25,09/11/2023,low
2643.77,02/04/2024,high
4024.75,01/04/2024,low
2569.76,22/06/2024,low
1934.01,18/11/2024,low
835.31,09/01/2025,low
2536.29,23/12/2024,high
3019.23,29/02/2024,mid
778.99,10/03/2024,low
3080.85,06/01/2024,low
3122.33,10/03/2025,high
1835.6,05/12/2024,high
3974.1,23/03/2024,high
2137.49,30/04/2025,high
887.55,20/10/2023,low
1690.34,23/02/2025,mid
4741.58,14/04/2025,mid
934.38,23/08/2023,mid
1812.57,02/09/2024,low
3081.41,29/10/2024,high
871.0,25/11/2024,low
790.31,23/04/2025,high
3022.23,02/05/2024,high
4318.53,31/05/2024,low
1941.21,16/08/2024,low
2896.17,18/01/2025,mid
1618.75,06/11/2024,high
3864.49,21/09/2024,low
2915.38,23/05/2024,mid
2169.38,03/08/2024,high
4227.14,20/01/2024,high
3277.76,25/10/2024,low
3064.2,17/08/2024,mid
1154.57,28/10/2024,low
3402.49,28/04/2024,mid
2358.76,14/07/2024,low
1455.28,24/11/2024,mid
2013.34,17/01/2024,low
2994.51,13/02/2024,high
1989.07,02/08/2024,low
2142.37,27/04/2024,high
3012.11,12/12/2023,high
2391.43,18/04/2024,mid
3818.76,28/11/2024,mid
603.32,13/10/2024,high
1244.39,07/11/2023,low
3881.02,05/06/2024,high
819.17,07/08/2023,mid
4588.26,23/09/2023,mid
560.18,18/06/2024,low
4511.51,16/03/2024,high
1198.61,18/10/2024,mid
2593.57,22/02/2025,mid
3836.43,28/10/2023,high
2250.92,14/02/2025,mid
2713.28,20/11/2023,high
1640.59,20/02/2025,high
3280.9,23/08/2023,high
4287.15,20/06/2023,high
2446.02,10/06/2025,low
2997.85,15/07/2023,low
4648.39,25/12/2023,low
3826.98,18/07/2023,mid
1978.13,01/12/2023,mid
2718.83,03/06/2024,high
2263.1,11/09/2023,high
3983.41,10/03/2025,mid
766.5,16/05/2024,high
4389.18,19/02/2024,low
1486.22,06/01/2025,mid
914.22,16/06/2023,mid
507.49,12/05/2025,mid
3518.76,17/05/2025,high
2382.38,15/09/2024,mid
2988.94,23/06/2024,mid
3806.32,02/01/2024,low
2419.62,01/01/2025,low
4936.74,08/10/2024,mid
1109.22,13/04/2025,low
1538.73,02/04/2024,mid
1320.7,05/12/2023,high
4199.21,08/03/2024,low
2991.11,05/02/2025,high
2323.48,10/07/2024,high
4374.4,30/05/2024,mid
1682.04,13/04/2025,mid
2685.87,03/10/2023,low
3905.72,22/02/2025,mid
1519.34,18/02/2024,high
1076.39,16/08/2024,low
1495.13,10/02/2024,mid
3133.81,14/02/2024,low
1168.23,03/11/2024,mid
3890.56,03/11/2024,mid
2062.41,28/12/2023,high
953.64,19/08/2023,high
4412.3,12/12/2024,low
3658.72,23/02/2024,mid
2324.6,21/09/2024,mid
1225.75,23/03/2024,mid
3838.5,16/06/2023,high
3666.74,06/04/2024,mid
1283.96,01/12/2023,high
2539.68,19/02/2025,low
3836.14,12/05/2024,high
4775.58,12/07/2023,low
3804.96,02/02/2024,high
1456.69,10/09/2024,mid
1129.4,13/12/2023,mid
2772.14,20/06/2023,low
4339.33,24/12/2023,high
3983.45,26/08/2023,low
2829.29,25/01/2025,low
2814.53,19/05/2025,high
1775.47,24/01/2024,high
617.07,03/01/2025,low
3793.58,30/10/2023,low
784.25,24/06/2024,mid
798.9,01/12/2024,high
2058.63,11/09/2023,low
1602.09,13/11/2024,low
2697.68,12/05/2025,high
3175.37,25/06/2023,high
920.87,04/09/2024,low
4441.5,28/04/2025,high
4387.46,26/11/2024,mid
3691.59,06/05/2024,high
2229.46,20/10/2024,mid
4623.14,27/02/2024,high
4506.57,22/03/2025,low
871.9,09/05/2024,high
2433.1,17/04/2025,mid
3704.66,23/08/2023,low
789.85,17/05/2024,low
2807.4,21/02/2025,low
2280.01,22/12/2023,mid
3320.47,13/09/2023,low
3328.09,29/01/2024,low
1981.04,25/05/2025,mid
3857.48,20/10/2024,low
3951.19,19/10/2024,mid
2607.91,11/11/2024,low
1476.38,20/11/2023,low
3239.93,14/03/2024,low
4557.65,14/06/2023,high
4058.74,03/09/2024,high
693.32,12/03/2025,low
1484.65,12/11/2024,mid
1875.89,20/03/2025,low
2642.57,15/11/2024,high
1950.35,01/09/2024,high
2130.08,15/04/2025,high
4811.37,17/08/2023,high
1395.68,24/05/2024,high
4759.8,24/11/2023,low
1002.27,05/04/2024,low
1507.82,20/05/2024,mid
4873.67,05/09/2023,low
2570.02,31/01/2025,mid
945.67,31/10/2024,mid
2643.84,07/04/2024,low
1387.34,03/10/2024,high
1018.78,16/07/2024,mid
2902.07,02/04/2024,mid
3390.66,26/06/2024,low
2094.07,07/12/2023,high
1137.94,28/06/2023,high
2308.23,22/08/2023,low
1460.24,02/06/2025,low
1896.17,23/11/2023,mid
3552.6,26/07/2024,high
2951.27,29/06/2023,high
3127.8,29/03/2025,mid
2422.28,29/12/2023,low
4142.67,05/06/2024,mid
3184.34,12/04/2025,mid
2332.22,14/11/2023,high
2599.45,20/12/2023,mid
2471.8,11/05/2025,high
3653.41,25/11/2023,low
2754.57,06/05/2024,high
4123.79,10/11/2024,low
3003.38,24/06/2023,low
1783.69,16/06/2024,high
3056.18,26/12/2024,mid
2340.95,20/03/2024,high
3828.16,27/05/2025,high
3392.96,29/09/2024,mid
3745.48,02/04/2024,low
2473.86,27/06/2023,low
2166.6,05/11/2024,high
2222.51,14/04/2025,low
2035.06,14/11/2023,mid
1708.65,29/11/2024,high
4052.35,04/09/2023,mid
4483.35,15/07/2024,low
4742.72,05/08/2024,mid
2221.22,26/04/2025,high
1710.64,23/01/2025,mid
1719.87,23/02/2024,low
2736.5,21/02/2024,mid
4469.63,22/01/2025,low
1856.92,26/05/2024,mid
3132.4,01/09/2023,mid
1478.38,15/12/2023,high
4317.21,12/04/2025,high
2559.75,11/12/2024,high
2632.5,30/08/2023,low
4461.38,21/09/2023,mid
3928.86,24/10/2024,high
1655.84,30/05/2025,high
1788.6,09/10/2023,low
4297.83,21/06/2024,mid
716.34,28/12/2024,low
2256.26,06/08/2023,high
824.15,23/03/2025,mid
2344.93,12/10/2023,low
2126.22,12/10/2024,low
2884.21,23/06/2023,low
1653.14,28/04/2025,low
2902.17,16/09/2024,low
4421.84,09/03/2024,high
1923.03,23/04/2025,high
4888.8,26/04/2025,high
4703.69,18/01/2024,mid
4216.12,23/06/2024,mid
1185.76,16/03/2024,high
2596.97,24/02/2025,high
3201.5,12/12/2024,low
908.74,16/01/2025,high
1436.32,31/03/2024,low
1024.24,31/10/2024,low
1896.16,03/11/2023,mid
1330.54,10/07/2023,mid
4241.57,20/04/2025,high
4835.15,12/01/2025,low
3294.25,30/11/2023,mid
3298.55,15/03/2025,low
4744.42,10/10/2023,low
2735.33,09/06/2025,mid
4281.68,19/03/2024,mid
2419.14,18/01/2025,low
1383.23,21/07/2024,low
3287.2,23/07/2024,low
1288.79,21/10/2023,low
579.02,03/04/2025,low
4785.11,23/03/2025,high
3512.49,03/12/2023,high
2613.68,21/11/2024,high
1510.62,20/09/2023,mid
4344.29,13/08/2024,high
1422.44,22/06/2023,mid
880.21,06/09/2023,low
4968.72,02/11/2023,high
1660.98,28/12/2023,high
1035.28,30/12/2024,mid
2339.02,08/09/2023,mid
2940.29,20/12/2023,mid
829.4,10/08/2024,mid
1805.11,27/05/2024,high
1185.67,06/09/2024,mid
3082.85,09/10/2024,high
1694.97,06/04/2024,high
1572.71,19/08/2023,low
3836.27,18/12/2024,high
3585.91,22/01/2024,high
720.73,05/08/2024,mid
865.5,14/05/2024,mid
4895.02,09/12/2023,high
663.55,22/10/2024,high
2955.47,20/09/2024,mid
4058.54,02/10/2024,low
4171.36,13/12/2023,high
4644.84,01/03/2025,high
4208.59,14/07/2024,low
4742.52,03/04/2024,low
3004.37,31/01/2024,low
2479.94,19/02/2025,low
2820.72,19/01/2025,mid
2327.35,26/04/2025,mid
2017.15,23/10/2024,mid
2704.71,18/02/2025,mid
1934.37,22/11/2024,high
4069.43,06/10/2024,high
2412.68,04/11/2024,mid
4911.1,26/06/2024,mid
3942.39,29/05/2025,mid
3448.57,19/02/2025,low
2737.11,27/12/2023,low
989.98,25/11/2024,mid
3445.22,22/05/2025,low
1011.62,16/01/2024,mid
4344.49,15/09/2024,mid
2993.2,30/07/2023,mid
4724.98,20/03/2025,mid
2257.56,30/08/2024,high
1883.31,08/06/2025,low
4939.71,18/02/2024,mid
4593.35,01/05/2024,mid
4631.8,12/11/2024,mid
2823.69,20/06/2023,mid
1367.18,04/10/2024,low
1580.63,01/03/2025,mid
887.65,14/08/2023,mid
4749.03,20/08/2023,mid
2308.87,27/01/2025,low
847.56,08/04/2024,high
4282.27,04/08/2023,mid
2184.81,27/12/2023,low
3328.01,13/07/2024,mid
3652.26,12/11/2024,mid
1169.19,18/02/2024,low
1625.77,23/01/2025,low
2190.53,20/07/2023,high
1489.87,18/08/2024,low
3555.01,25/08/2023,mid
2605.98,14/11/2024,low
2800.55,18/12/2023,mid
1380.94,19/02/2025,high
4983.71,28/12/2023,high
3172.09,05/02/2025,mid
3228.46,10/03/2025,mid
932.57,13/10/2024,high
4563.7,06/07/2023,mid
3406.79,01/01/2025,low
2486.21,09/06/2025,low
4412.85,21/10/2024,low
4220.9,29/07/2024,low
1838.72,12/01/2024,mid
2725.59,02/09/2023,mid
3065.83,19/01/2025,high
3352.6,07/03/2024,high
1775.64,01/12/2023,low
4664.7,24/12/2023,high
4511.04,20/07/2023,high
2700.22,07/02/2025,high
877.39,25/06/2023,high
4811.97,13/05/2025,high
1946.06,29/04/2025,mid
2441.2,21/11/2023,high
1331.84,15/11/2023,low
1410.62,13/03/2024,low
781.14,05/11/2023,low
825.6,01/11/2023,low
4665.14,28/06/2023,low
3792.21,20/08/2024,high
864.62,18/07/2023,mid
2864.11,24/04/2024,high
1116.52,10/03/2024,low
766.42,12/08/2024,mid
1113.3,02/10/2023,mid
1898.49,05/05/2025,low
554.63,27/01/2024,high
2980.87,02/01/2024,mid
4567.82,25/04/2025,low
4062.56,07/05/2025,high
4584.06,15/01/2024,low
2765.63,21/05/2025,high
4741.34,18/09/2024,low
1181.86,09/02/2024,mid
2009.89,29/01/2025,mid
1246.05,25/04/2025,mid
958.3,12/08/2023,low
2720.42,12/12/2024,mid
828.43,07/09/2023,low
4981.94,18/02/2024,high
1884.74,23/07/2024,mid
2098.51,08/12/2023,low
4551.82,03/04/2025,high
2068.42,18/11/2023,high
500.92,13/04/2024,high
831.43,29/05/2025,mid
4768.58,30/10/2024,high
1152.79,28/10/2024,low
698.12,22/12/2023,low
4281.51,07/10/2023,high
979.98,30/08/2024,high
3012.23,03/09/2023,high
2019.02,08/11/2024,low
2701.69,02/02/2024,mid
4573.12,31/03/2025,mid
3299.42,09/09/2024,mid
4756.63,18/07/2024,low
2167.32,03/07/2023,high
723.63,27/10/2024,low
3746.21,28/12/2023,low
1309.13,03/11/2024,high
3889.56,01/08/2023,mid
3236.5,10/04/2024,low
3898.44,11/11/2024,low
3984.39,10/06/2024,mid
4347.53,26/06/2023,mid
2396.33,08/11/2024,high
3300.37,23/09/2024,high
595.83,30/05/2024,mid
4832.87,05/09/2023,low
1069.33,09/10/2024,high
2249.67,13/04/2025,low
2162.93,13/09/2023,low
3613.11,08/03/2024,mid
2369.56,04/09/2024,high
4930.96,13/12/2024,mid
1241.97,16/10/2023,mid
2475.84,21/05/2024,low
2327.8,15/01/2025,low
2005.44,03/02/2025,high
1101.69,29/12/2024,mid
786.23,03/07/2023,high
1060.47,15/02/2025,low
4872.11,28/04/2024,low
4918.97,26/05/2024,high
4970.92,18/07/2024,mid
3931.0,13/11/2023,mid
1591.17,25/09/2024,mid
3790.53,11/02/2024,high
4145.69,17/01/2024,high
2418.56,27/05/2024,mid
4224.49,09/05/2025,low
1862.45,13/05/2024,high
1497.32,26/07/2023,low
4889.56,16/12/2024,high
2228.56,11/07/2024,high
1475.28,06/12/2023,high
1699.58,21/02/2024,high
1656.13,18/12/2024,low
1618.12,22/04/2025,high
1660.33,29/06/2023,low
1948.83,28/11/2023,low
1380.05,19/04/2024,mid
3697.46,25/12/2023,mid
4891.97,16/10/2024,mid
3919.45,02/03/2025,mid
1336.98,09/06/2025,mid
921.57,03/11/2024,low
950.58,12/12/2023,mid
604.7,05/08/2023,mid
2114.93,27/09/2024,high
1168.12,23/10/2023,mid
3488.06,04/03/2025,low
4763.05,19/11/2023,high
4783.18,30/12/2023,mid
1409.13,05/09/2024,high
2207.04,28/07/2024,low
632.6,30/01/2025,low
1502.83,17/08/2024,mid
3915.89,03/10/2024,high
1438.92,07/08/2024,mid
4770.65,22/04/2024,mid
609.24,14/12/2023,low
1159.21,01/07/2024,high
3296.57,03/04/2025,low
1931.14,11/01/2025,low
4639.43,24/05/2024,low
4089.41,09/08/2023,high
895.35,01/03/2025,high
634.61,19/06/2024,mid
4908.8,30/12/2024,high
2775.87,08/11/2024,low
1690.53,05/06/2025,high
4792.1,15/02/2024,high
3485.02,27/05/2024,low
4191.36,25/08/2023,mid
1707.52,23/07/2023,high
4994.17,03/03/2025,low
4037.81,30/06/2023,low
649.94,29/11/2023,mid
934.14,01/10/2023,low
3971.15,10/10/2023,high
953.32,20/05/2024,high
3528.93,26/03/2025,mid
2664.34,22/09/2024,mid
1016.9,27/09/2024,high
625.2,05/12/2024,high
2706.43,15/08/2024,mid
2946.09,05/03/2024,mid
2722.77,27/07/2024,high
3236.07,25/07/2023,mid
1690.03,21/05/2024,low
4484.02,05/01/2025,mid
1388.47,03/09/2024,high
4881.8,17/11/2024,mid
3639.94,03/09/2024,mid
4352.63,15/10/2024,low
1003.81,20/07/2023,low
1251.61,11/09/2023,high
755.58,03/11/2024,high
1521.39,08/02/2025,mid
3749.27,30/04/2025,high
2242.43,10/07/2024,mid
1295.21,25/03/2024,high
2161.08,14/02/2024,mid
2743.57,19/04/2024,low
1434.84,28/06/2023,low
3039.17,12/06/2024,mid
3302.82,09/06/2024,high
2996.37,20/06/2024,low
4082.92,06/07/2024,low
3175.02,19/01/2025,high
3688.55,10/09/2024,high
3001.98,07/10/2023,mid
2542.03,02/11/2024,low
915.66,31/07/2024,high
3630.95,29/06/2024,high
4319.97,30/06/2023,low
3540.41,13/06/2023,mid
2116.66,14/09/2024,low
3117.73,01/02/2025,high
4972.52,07/12/2024,high
2539.27,17/06/2024,mid
4401.64,23/12/2024,high
4436.75,03/01/2024,high
4846.16,04/03/2025,mid
2564.34,28/09/2024,low
3525.4,11/06/2025,mid
1745.64,07/09/2023,high
1540.37,29/10/2023,mid
2600.44,08/12/2024,high
1802.45,19/04/2024,low
2545.0,31/08/2024,low
2265.84,08/06/2025,high
1415.04,19/02/2025,low
3770.82,30/12/2023,mid
4731.79,15/10/2024,mid
2471.01,25/04/2025,high
3974.77,22/02/2024,high
1447.18,26/04/2024,low
1637.45,16/08/2023,low
2499.54,18/01/2024,high
1907.01,20/05/2024,low
2827.92,02/01/2025,high
2407.31,26/10/2024,mid
613.65,08/10/2023,mid
2345.01,02/12/2024,high
1216.63,28/07/2024,low
3677.84,07/12/2024,low
4175.66,25/05/2025,low
4506.83,17/10/2023,mid
848.95,15/05/2024,low
4343.62,08/11/2024,low
4145.46,11/01/2024,mid
2028.46,09/10/2023,high
3777.62,04/02/2024,high
2613.96,10/07/2023,mid
3887.26,21/01/2025,mid
2293.87,08/03/2024,low
3248.45,04/03/2024,high
4133.24,05/03/2025,low
4389.23,03/05/2024,low
1618.14,20/01/2025,mid
1360.46,10/02/2025,high
3717.31,06/06/2024,mid
4961.9,22/11/2024,high
1765.29,27/05/2025,high
3104.41,30/12/2023,low
1500.23,10/06/2025,high
4960.37,30/07/2023,low
980.52,31/10/2024,mid
2763.84,27/11/2023,high
883.57,04/09/2023,high
1163.99,13/04/2025,mid
1326.71,16/01/2024,high
4106.19,13/04/2025,low
4827.61,16/04/2025,low
3184.41,15/05/2024,low
912.92,25/12/2024,low
803.99,08/05/2024,mid
2465.43,16/10/2023,mid
4060.24,24/04/2025,high
4555.32,24/05/2025,low
3239.17,14/05/2024,high
1277.87,08/12/2023,high
3073.78,28/02/2025,mid
2240.2,08/09/2023,mid
3911.95,10/04/2025,high
1166.94,03/11/2024,high
3275.88,03/11/2023,low
1094.03,15/07/2023,high
3501.59,18/11/2023,low
3824.57,01/12/2024,low
3210.8,26/03/2025,high
4376.65,19/06/2023,low
2469.85,04/05/2024,low
2192.07,06/06/2024,low
3875.28,18/01/2024,low
2942.8,24/08/2023,high
2319.39,23/10/2024,low
752.18,07/06/2024,mid
513.26,22/07/2023,low
4959.2,24/08/2023,high
3261.81,20/04/2024,low
1964.98,30/01/2024,high
1927.77,02/02/2025,mid
3904.61,23/06/2023,low
1564.76,19/05/2024,high
3200.57,14/12/2023,mid
812.64,18/12/2024,mid
4738.87,08/05/2025,high
4377.3,10/12/2024,high
1847.59,15/08/2024,mid
2770.13,04/08/2023,high
1673.1,20/03/2024,mid
3695.56,20/09/2024,mid
3501.03,24/04/2025,low
4025.88,31/05/2025,mid
1674.67,02/10/2023,mid
1262.07,28/06/2023,mid
4483.42,23/01/2025,high
3438.32,10/03/2025,mid
2245.2,03/03/2025,mid
2128.36,13/12/2023,low
3086.64,09/01/2024,low
3092.08,10/06/2025,low
724.45,01/06/2024,high
1074.37,05/11/2024,mid
3599.37,07/11/2023,low
2508.81,05/01/2025,high
4148.56,09/02/2024,mid
2880.13,29/07/2023,high
732.32,06/09/2023,low
2651.12,13/08/2024,mid
3086.76,17/04/2025,mid
4373.95,15/03/2024,high
4556.91,09/05/2025,high
1144.55,09/04/2025,mid
2985.45,02/01/2024,high
1734.13,18/01/2025,mid
1924.08,14/09/2023,low
911.39,14/04/2024,high
996.28,13/03/2025,low
4030.15,09/12/2024,high
3093.91,16/10/2024,high
1527.67,22/04/2025,mid
3731.76,06/12/2023,high
3319.86,05/02/2024,mid
2517.03,31/07/2024,mid
3093.98,20/02/2024,mid
3281.5,18/02/2025,low
988.8,16/03/2025,low
3266.69,08/05/2024,low
1559.99,06/09/2024,high
4580.79,08/08/2024,high
3607.18,03/06/2025,mid
1704.61,26/01/2025,mid
3451.96,09/06/2025,high
972.0,28/09/2024,mid
2167.78,16/04/2025,high
4937.28,02/09/2023,mid
2794.96,24/11/2023,mid
3474.65,18/03/2024,mid
1065.46,22/06/2023,mid
1967.01,15/11/2023,high
1836.18,03/06/2024,high
3418.36,02/07/2024,mid
760.51,22/12/2023,mid
3478.2,07/09/2023,mid
4778.22,14/08/2023,mid
4608.31,28/12/2023,high
4954.64,02/10/2023,low
1028.13,23/06/2024,high
4474.45,16/06/2023,mid
3708.73,04/01/2025,high
3686.94,07/02/2024,high
2482.21,23/03/2025,mid
559.73,03/10/2023,mid
4956.12,20/11/2023,high
3033.14,08/07/2024,high
969.77,13/05/2025,mid
4055.86,21/02/2024,mid
3550.98,18/09/2024,mid
1692.48,23/05/2025,high
3124.52,07/11/2023,high
710.27,11/01/2025,mid
1503.14,24/12/2023,mid
3989.4,20/09/2023,mid
1323.01,08/07/2023,high
4420.95,23/01/2024,high
2328.81,12/02/2024,high
2937.3,31/01/2025,low
4232.26,13/09/2024,low
1417.86,07/05/2024,high
3994.18,09/03/2025,low
520.39,28/12/2023,high
3990.02,13/10/2024,low
3558.45,10/02/2024,low
506.55,05/07/2024,mid
2310.28,06/03/2024,mid
4603.16,21/09/2023,low
2545.66,18/09/2023,mid
3409.44,19/12/2023,low
4349.85,01/03/2025,mid
4099.7,22/08/2023,mid
1348.22,17/08/2023,low
3497.64,18/10/2023,low
4987.97,24/07/2023,low
1405.76,01/07/2023,mid
3134.5,21/03/2025,low
3274.75,19/09/2023,low
2155.83,26/10/2023,mid
777.91,11/05/2025,mid
4575.96,01/11/2024,mid
3085.21,08/03/2024,high
1490.83,25/05/2025,high
4845.92,30/09/2024,mid
600.72,10/10/2023,low
1938.94,09/01/2024,mid
1161.17,16/07/2023,low
3477.98,14/02/2024,low
4342.22,29/11/2024,high
2269.84,01/02/2025,low
3897.17,09/05/2025,high
4636.63,26/11/2023,high
4574.2,25/07/2024,low
4572.99,01/04/2025,mid
2870.49,01/02/2025,mid
4351.49,28/06/2024,high
664.1,20/09/2024,low
3332.49,14/03/2025,high
4546.33,29/09/2024,high
3135.52,12/09/2023,high
1070.24,12/04/2025,mid
2598.67,10/04/2024,mid
841.53,20/11/2023,mid
597.24,28/06/2024,mid
3050.37,22/07/2024,high
2017.0,02/05/2025,low
3440.84,24/01/2024,high
4457.45,14/12/2024,mid
2616.19,01/03/2025,low
3455.68,28/12/2024,mid
4578.06,01/09/2023,low
694.24,22/04/2025,mid
2069.97,12/04/2025,mid
3438.03,27/12/2024,high
1623.67,06/08/2023,high
884.05,18/09/2024,low
1021.4,17/11/2024,mid
3446.94,15/03/2024,high
4723.27,05/10/2024,mid
4634.8,29/11/2024,low
2683.32,23/02/2025,mid
2399.72,21/06/2023,low
811.48,11/02/2024,low
603.63,29/12/2023,mid
