date,amount,note
14/03/2023,72.0,suscipit ligula in lacus curabitur at ipsum ac tellus semper
19/06/2022,2.53,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
09/10/2022,91.99,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel
10/08/2022,2.71,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
08/05/2023,99.85,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at
14/05/2023,81.81,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
05/03/2023,18.51,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
11/01/2023,50.3,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi
05/06/2023,62.57,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet
07/07/2022,58.8,in felis donec semper sapien a libero nam dui proin leo odio porttitor id
02/12/2022,54.65,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero
23/02/2023,75.66,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
23/11/2022,2.54,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci
21/07/2022,1.81,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec
17/08/2022,22.95,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus
21/12/2022,14.29,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque
07/07/2022,40.59,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu
08/06/2023,24.1,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu
20/05/2023,96.66,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras
20/12/2022,29.15,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
19/08/2022,11.01,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum
03/09/2022,63.19,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
05/06/2023,7.09,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in
16/12/2022,79.66,enim blandit mi in porttitor pede justo eu massa donec dapibus duis
25/09/2022,38.35,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
21/10/2022,7.64,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi
03/07/2022,33.6,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus
05/02/2023,87.61,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
05/04/2023,37.64,elit proin interdum mauris non ligula pellentesque ultrices phasellus id
31/12/2022,45.01,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
17/02/2023,24.21,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros
01/01/2023,29.47,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
22/08/2022,22.99,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
03/11/2022,6.48,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
03/01/2023,99.59,enim leo rhoncus sed vestibulum sit amet cursus id turpis
05/08/2022,42.84,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel
05/11/2022,18.34,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non
24/01/2023,96.12,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
26/01/2023,53.93,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis
29/03/2023,54.0,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam
12/11/2022,36.66,id luctus nec molestie sed justo pellentesque viverra pede ac diam
25/12/2022,56.75,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at
25/09/2022,67.68,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium
09/09/2022,35.73,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
13/05/2023,10.9,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
11/07/2022,26.13,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus
28/01/2023,75.15,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id
18/02/2023,1.76,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius
05/06/2023,75.69,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque
11/05/2023,24.3,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus
28/10/2022,60.85,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede
06/10/2022,53.29,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis
08/04/2023,45.84,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam
09/12/2022,5.02,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus
17/11/2022,88.19,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
26/10/2022,33.3,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
22/03/2023,55.11,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien
08/12/2022,25.89,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec
31/08/2022,27.19,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam
27/08/2022,12.16,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
20/09/2022,89.54,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut
31/03/2023,71.58,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus
13/11/2022,21.9,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
22/06/2022,68.33,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a
07/04/2023,88.0,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh
09/12/2022,97.97,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque
06/04/2023,60.55,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
12/10/2022,63.03,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
04/03/2023,39.33,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at
13/03/2023,58.54,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
23/04/2023,48.74,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique
28/11/2022,19.73,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus
18/05/2023,30.53,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
07/09/2022,23.7,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce
29/09/2022,77.72,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet
19/11/2022,12.85,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut
02/08/2022,65.57,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis
09/11/2022,62.3,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris
16/02/2023,20.27,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
18/07/2022,82.05,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
16/06/2022,45.42,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
19/03/2023,35.47,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper
28/01/2023,81.37,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
25/12/2022,55.18,integer pede justo lacinia eget tincidunt eget tempus vel pede
31/10/2022,42.77,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis
22/08/2022,69.01,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut
23/02/2023,99.23,convallis duis consequat dui nec nisi volutpat eleifend donec ut
08/09/2022,39.89,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec
14/09/2022,4.57,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
30/05/2023,77.23,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
15/11/2022,64.33,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
29/08/2022,7.49,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
02/05/2023,29.0,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget
22/03/2023,68.8,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
03/01/2023,67.97,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim
13/02/2023,37.59,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi
01/03/2023,69.97,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
04/12/2022,36.45,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget
03/05/2023,29.07,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam
12/01/2023,37.42,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat
16/12/2022,42.78,non interdum in ante vestibulum ante ipsum primis in faucibus
09/08/2022,60.51,sed augue aliquam erat volutpat in congue etiam justo etiam pretium
30/09/2022,38.5,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere
28/07/2022,85.86,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit
12/12/2022,79.41,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa
22/08/2022,62.72,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus
27/10/2022,37.56,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
22/12/2022,7.62,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
10/12/2022,60.12,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim
18/10/2022,26.5,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit
22/06/2022,12.3,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero
16/12/2022,84.76,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere
17/09/2022,44.5,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi
20/02/2023,87.97,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio
19/12/2022,80.85,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus
14/08/2022,78.67,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
14/01/2023,49.03,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
19/02/2023,19.31,cursus urna ut tellus nulla ut erat id mauris vulputate elementum
08/06/2023,61.34,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
14/12/2022,87.88,quam nec dui luctus rutrum nulla tellus in sagittis dui
15/05/2023,67.23,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel
17/01/2023,4.68,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
20/06/2022,78.8,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
28/03/2023,20.95,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
04/05/2023,44.6,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam
06/11/2022,61.25,erat nulla tempus vivamus in felis eu sapien cursus vestibulum
14/02/2023,39.87,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat
21/11/2022,2.74,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam
23/04/2023,61.83,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
10/02/2023,56.84,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
25/03/2023,34.41,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor
25/04/2023,50.13,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
26/03/2023,5.27,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
22/05/2023,73.7,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque
18/04/2023,75.85,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus
17/12/2022,47.42,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
22/08/2022,26.06,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id
10/05/2023,11.93,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante
28/09/2022,88.07,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
13/07/2022,49.62,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non
06/09/2022,90.87,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed
16/04/2023,61.99,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat
27/12/2022,49.18,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed
22/11/2022,91.87,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer
01/11/2022,52.14,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis
26/09/2022,47.0,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum
18/09/2022,3.89,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
07/03/2023,87.05,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper
12/08/2022,14.51,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac
16/01/2023,50.23,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis
06/06/2023,53.95,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
05/05/2023,22.38,molestie lorem quisque ut erat curabitur gravida nisi at nibh in
17/07/2022,24.79,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a
26/04/2023,76.7,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at
18/01/2023,2.97,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede
29/06/2022,59.33,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient
02/06/2023,36.95,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
31/08/2022,25.13,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
03/05/2023,30.08,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem
15/04/2023,88.52,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet
26/04/2023,76.54,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
04/04/2023,42.94,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl
12/11/2022,36.76,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus
12/11/2022,4.69,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper
03/01/2023,23.0,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget
14/10/2022,80.13,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
10/09/2022,29.18,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
02/05/2023,58.57,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
15/02/2023,14.6,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula
21/08/2022,88.78,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
09/08/2022,43.09,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus
28/06/2022,73.02,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
17/04/2023,74.23,eget eros elementum pellentesque quisque porta volutpat erat quisque erat
24/09/2022,79.41,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum
10/05/2023,50.3,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu
10/06/2023,14.67,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis
10/11/2022,52.64,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est
30/08/2022,8.47,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
07/03/2023,79.59,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo
18/07/2022,93.73,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem
04/11/2022,19.05,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien
14/02/2023,68.29,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt
05/06/2023,99.97,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat
12/09/2022,99.66,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede
24/01/2023,94.24,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt
13/11/2022,90.54,est lacinia nisi venenatis tristique fusce congue diam id ornare
18/09/2022,97.77,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante
25/02/2023,59.15,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
16/08/2022,39.2,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
30/07/2022,92.23,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
23/06/2022,6.0,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo
12/12/2022,55.47,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus
06/10/2022,1.15,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie
04/12/2022,34.47,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget
03/06/2023,86.31,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat
15/01/2023,47.85,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros
15/10/2022,71.01,phasellus sit amet erat nulla tempus vivamus in felis eu
09/06/2023,6.68,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc
22/10/2022,81.49,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non
29/03/2023,40.66,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus
20/04/2023,22.54,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor
24/02/2023,65.09,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
15/02/2023,65.52,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo
16/06/2022,61.82,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
16/08/2022,68.21,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
28/02/2023,4.81,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac
22/02/2023,70.4,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer
20/07/2022,46.73,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id
