kind,price
Cookie Trail Mix,4
Ice Cream Bar - Drumstick,18
Snapple - Iced Tea Peach,18
Lentils - Green,14
Wine - Red,13
Pepper - Black,17
Lamb - Whole,5
Juice - Propel Sport,9
Wine - Tio Pepe Sherry Fino,4
Wine - Red,1
Sausage - Meat,10
Glycerine,16
Veal - Heart,4
Pastry - Cherry Danish - Mini,15
Beer - True North Lager,1
Onions - Vidalia,13
Tea - Decaf 1 Cup,16
Eggwhite Frozen,13
Wine - Magnotta - Belpaese,15
Oregano - Fresh,16
Broom And Brush Rack Black,20
Pears - Bosc,2
Chocolate - White,18
Bar Special K,1
Soup - Campbells Broccoli,20
Juice - Lime,17
Water - Tonic,8
Sardines,6
Jameson - Irish Whiskey,6
Chicken - Whole Fryers,17
Saskatoon Berries - Frozen,4
Fennel - Seeds,18
General Purpose Trigger,2
Cheese - Mozzarella,15
Ice Cream - Life Savers,6
Oil - Safflower,15
Shrimp - Black Tiger 6 - 8,13
Table Cloth 90x90 Colour,10
Wine - Masi Valpolocell,13
Juice - Orange,5
Olive - Spread Tapenade,17
Halibut - Fletches,16
Olives - Nicoise,9
Bread - 10 Grain,10
Pail With Metal Handle 16l White,7
Juice - Grape,10
Pumpkin - Seed,11
Wine - Lou Black Shiraz,20
Artichokes - Jerusalem,14
V8 Splash Strawberry Kiwi,20
Cheese - Swiss Sliced,15
Tray - Foam,1
Wine - Chateau Aqueria Tavel,4
Cocoa Butter,17
Magnotta Bel Paese Red,16
Coffee - Espresso,7
Bar Special K,2
Crawfish,19
Mushroom - Trumpet,1
Pop - Club Soda Can,4
Tomato - Peeled Italian Canned,17
Pepper - Chili Powder,11
Vinegar - Champagne,17
Island Oasis - Lemonade,10
Sesame Seed,14
Brocolinni - Gaylan,8
Crackers - Melba Toast,17
Brocolinni - Gaylan,10
Mushroom - Crimini,12
Juice - Apple,13
Beef Wellington,1
Sobe - Liz Blizz,10
Cheese - Le Cheve Noir,17
Salmon - Atlantic,1
Ecolab - Balanced Fusion,18
Napkin - Beverge,8
Soup - Knorr,11
Yoghurt Tubes,7
Longos - Cheese Tortellini,14
Pork - Chop,15
Cake - Cheese Cake 9 Inch,4
Trout - Smoked,3
Wine - Periguita Fonseca,15
Pepper - Chipotle,7
Doilies - 7,12
Cheese - Comte,1
Wine - Savigny - Les - Beaune,16
Ocean Spray - Kiwi Strawberry,13
Bread - Multigrain,19
Wine - Chablis J Moreau Et Fils,20
Muffin Mix - Raisin Bran,2
Beef - Eye Of Round,14
Pate - Peppercorn,2
Cocoa Powder - Dutched,9
Squash - Pepper,15
Veal - Shank,14
Cake - Cheese Cake 9 Inch,11
Pasta - Cheese / Spinach Bauletti,1
Trout - Smoked,6
Bread - Italian Sesame Poly,1
Lid - 3oz Med Rec,17
Cheese - Brie,18
Browning Caramel Glace,10
Sponge Cake Mix - Chocolate,20
Truffle Cups Green,5
Pie Pecan,13
Beer - Muskoka Cream Ale,20
Mangostein,16
Yams,5
Pike - Frozen Fillet,14
Oil - Peanut,13
Mix - Cocktail Strawberry Daiquiri,7
Wine - White,7
Oregano - Dry,8
Corn - Cream,1
Trout - Rainbow,8
Lettuce - Spring Mix,18
Spaghetti Squash,15
Berry Brulee,8
Wine - Soave Folonari,7
Chips Potato Reg 43g,15
Celery,12
Soup - Tomato Mush. Florentine,11
Cookies Cereal Nut,1
Wine - Peller Estates Late,11
Yucca,7
Gin - Gilbeys London,14
Soup - Beef,16
Apron,6
Beer - Upper Canada Lager,8
Chocolate Bar - Reese Pieces,7
Cheese - Ricotta,20
Cod - Salted,6
The Pop Shoppe - Root Beer,3
Pickles - Gherkins,15
Fudge - Cream Fudge,19
Jam - Blackberry,8
Cheese - Taleggio D.o.p.,6
Juice - Lime,1
Beef Cheek Fresh,13
Raisin - Golden,12
Sugar - Brown,15
Maple Syrup,10
Soup - Knorr,5
Wood Chips - Regular,7
Beef - Texas Style Burger,18
Pail - 15l White,19
Cookie Dough - Chocolate Chip,10
Soup - Cream Of Broccoli,15
Spring Roll Wrappers,19
Bread Roll Foccacia,13
Savory,14
Squeeze Bottle,19
Asparagus - Mexican,19
Phyllo Dough,17
Aspic - Amber,7
Cod - Fillets,10
Wine - White,15
Cup - 8oz Coffee Perforated,19
Island Oasis - Banana Daiquiri,6
Berry Brulee,20
Duck - Whole,2
Thyme - Fresh,17
Beef - Texas Style Burger,9
Pork - Tenderloin,10
Snapple Raspberry Tea,18
Tandoori Curry Paste,17
Wine - Cahors Ac 2000,15
Buttons,14
Arrowroot,17
Macaroons - Homestyle Two Bit,11
Beans - Kidney White,20
Peppercorns - Pink,17
Lettuce - Red Leaf,10
Veal - Insides Provini,6
Apple - Northern Spy,1
Slt - Individual Portions,10
Wine - Vidal Icewine Magnotta,3
Sparkling Wine - Rose,4
Milk - Skim,8
Cheese - Asiago,2
Potatoes - Peeled,16
Beef - Baby,11
Maintenance Removal Charge,19
Beets,15
Wine - Saint Emilion Calvet,18
Anchovy Fillets,6
Kippers - Smoked,5
Steel Wool S.o.s,10
Red Currant Jelly,19
Pepper - Roasted Red,7
Lambcasing,7
Beef - Rouladin,10
Beer - Original Organic Lager,7
Oil - Truffle,20
Lobster - Baby,7
Coffee Cup 12oz 5342cd,15
Lamb Shoulder Boneless Nz,5
Cherries - Maraschino,16
Bols Melon Liqueur,14
Sour Cream,10
Eggplant - Baby,6
Wiberg Cure,11
Wine - Beaujolais Villages,6
Oil - Shortening,7
Steel Wool S.o.s,7
Beef - Bones,3
Teriyaki Sauce,17
Pork - Bacon Cooked Slcd,13
Swiss Chard - Red,3
Shichimi Togarashi Peppeers,10
Napkin Colour,10
Saskatoon Berries - Frozen,6
Everfresh Products,4
Tabasco Sauce,8
Wine - Red,11
Veal - Bones,14
Vaccum Bag 10x13,18
Muffin Chocolate Individual Wrap,14
Cornstarch,3
Kellogs Raisan Bran Bars,3
Cheese - Bakers Cream Cheese,12
Canada Dry,9
Container Clear 8 Oz,19
Tomatoes Tear Drop Yellow,12
Mussels - Frozen,1
Cornstarch,17
Wine - Fino Tio Pepe Gonzalez,6
Gooseberry,4
Soup Bowl Clear 8oz92008,15
Beans - Fine,12
Cookie - Oatmeal,9
Sprouts - Brussel,15
Artichokes - Knobless,3
Carbonated Water - Cherry,12
Garbage Bag - Clear,16
Salt - Celery,15
Wine - Alsace Riesling Reserve,20
Table Cloth 120 Round White,16
Cheese - Parmigiano Reggiano,15
Coffee - Egg Nog Capuccino,6
Trout - Smoked,9
Bread - Italian Sesame Poly,14
Chocolate - Milk Coating,2
Ham - Black Forest,19
Sage - Ground,15
Steam Pan Full Lid,4
Easy Off Oven Cleaner,20
Longos - Grilled Veg Sandwiches,2
Wine - Merlot Vina Carmen,9
Anchovy Paste - 56 G Tube,3
Artichoke - Hearts,20
Lemonade - Island Tea,11
Wine - Blue Nun Qualitatswein,2
Broom - Corn,17
Pastry - Trippleberry Muffin - Mini,14
Appetizer - Seafood Assortment,3
Compound - Orange,3
Bread - Bistro White,19
Flour - Buckwheat,5
Artichokes - Knobless,5
Dip - Tapenade,8
Haggis,11
Veal - Sweetbread,9
Banana - Green,4
Marjoram - Fresh,1
Ginger - Crystalized,16
Lettuce - Boston Bib - Organic,1
Banana - Leaves,19
Yeast Dry - Fermipan,2
Pumpkin - Seed,9
Jam - Raspberry,15
Basil - Pesto Sauce,4
Pop Shoppe Cream Soda,12
Wine - Red,3
Eggplant Oriental,2
Sole - Dover,11
Turnip - Mini,1
Oil - Olive Bertolli,7
Turkey - Breast,8
Syrup - Monin - Blue Curacao,13
Potatoes - Parissienne,3
Mayonnaise,1
Wine - White,15
Soup Campbells Turkey Veg.,10
Beans - Navy,17
Cod - Black Whole Fillet,11
Milk - Chocolate 500ml,20
Cilantro / Coriander - Fresh,11
Bread Sour Rolls,6
Eggplant Oriental,10
Mussels - Cultivated,15
Pork Salted Bellies,2
Apricots - Dried,13
Cookies - Oreo,11
Cheese - Brick With Pepper,14
Pepper - Red Thai,13
Pea - Snow,5
Eggs - Extra Large,2
Tea - Herbal Orange Spice,5
Oregano - Fresh,2
Mushroom - Porcini Frozen,9
Cookie Dough - Double,8
Wine - Soave Folonari,13
Mussels - Frozen,12
Salt - Kosher,12
Mushroom - Portebello,16
Wine - Red,15
Doilies - 12,10
Goulash Seasoning,13
Yogurt - Cherry,19
Aspic - Amber,5
Shrimp - Black Tiger 6 - 8,14
Bar Special K,15
Lettuce - Sea / Sea Asparagus,15
Pastry - French Mini Assorted,3
Pie Shells 10,12
Sproutsmustard Cress,15
Lumpfish Black,15
Nut - Hazelnut,8
Scallops - 20/30,7
Soup - Campbells Chicken,15
Cranberries - Fresh,15
Crackers - Graham,12
Ham - Cooked,1
Plate Pie Foil,16
Salt And Pepper Mix - White,13
Rum - Mount Gay Eclipes,2
Trout - Hot Smkd,3
Crush - Grape,18
Contreau,12
Lotus Leaves,6
Wine - Saint Emilion Calvet,16
Beets - Mini Golden,7
Apple - Macintosh,3
Table Cloth 62x114 Colour,2
Appetizer - Chicken Satay,13
Pepper - Red Thai,20
Ham - Proscuitto,5
Salt - Sea,11
Bread - Roll,13
Pate - Liver,4
Guinea Fowl,7
Beef - Prime Rib Aaa,16
Muffin Mix - Chocolate Chip,15
Artichoke - Hearts,17
Bread - Focaccia Quarter,14
Iced Tea Concentrate,11
Veal - Shank,12
Cheese - Swiss,20
Loquat,13
Sprouts - Peppercress,9
Salmon Steak - Cohoe 8 Oz,19
Pork - Tenderloin,6
Salmon - Atlantic,8
The Pop Shoppe - Root Beer,9
Vermouth - Sweet,18
Arrowroot,10
Longos - Cheese Tortellini,6
Nantucket - 518ml,12
Pie Box - Cello Window 2.5,13
Schnappes - Peach,8
Pail For Lid 1537,16
Chervil - Fresh,3
Peach - Halves,19
Onions - Red Pearl,3
Soup - Knorr,10
Seaweed Green Sheets,6
V8 Splash Strawberry Banana,4
Sweet Pea Sprouts,18
Cream - 10%,5
Grenadine,19
Ginger - Ground,9
Wine - Beringer Founders Estate,8
Sugar - Sweet N Low,5
Sunflower Seed Raw,5
Nantucket - Pomegranate Pear,20
Wine - Saint Emilion Calvet,6
Initation Crab Meat,16
Nori Sea Weed - Gold Label,20
Shrimp - Black Tiger 6 - 8,14
Chocolate Bar - Coffee Crisp,6
Quail - Whole,1
Flour Pastry Super Fine,8
Filling - Mince Meat,9
Longos - Cheese Tortellini,3
Sambuca Cream,13
Tart - Butter Plain Squares,11
Bread - Rolls,11
Wine - Red,13
Chicken - Whole Roasting,13
Beef - Striploin Aa,10
Chinese Foods - Pepper Beef,11
Mushroom - Crimini,1
Longos - Chicken Curried,16
Bar Nature Valley,19
Nantucket - 518ml,3
Flour - Corn,12
Chips Potato Reg 43g,18
Wine - Bouchard La Vignee Pinot,3
Corn Syrup,15
Piping Jelly - All Colours,5
Wine - Red,2
Oil - Margarine,10
Pepper - Julienne,5
Dried Cherries,12
Potato - Sweet,7
Sobe - Berry Energy,16
Beans - Turtle,3
Lettuce - Romaine,7
Raspberries - Fresh,19
Wooden Mop Handle,1
Beef - Short Ribs,20
Truffle Paste,4
Goldschalger,20
Appetizer - Crab And Brie,9
Oil - Food,12
Bread - Roll,7
Ecolab Digiclean Mild Fm,18
Sachet,10
Pastry - Banana Muffin - Mini,2
Wine - Riesling Dr. Pauly,5
Liners - Baking Cups,12
Soup - Campbells Mac N Cheese,16
Milk 2% 500 Ml,16
Halibut - Fletches,12
Cream Of Tartar,18
Doilies - 5,15
Wine - Magnotta - Red,10
Truffle - Whole Black Peeled,1
Sherry - Dry,10
Beans - Wax,16
Tea - Decaf 1 Cup,8
Sauce - Chili,5
Beans - Butter Lrg Lima,20
Potatoes - Yukon Gold,1
Wine - Jafflin Bourgongone,20
Wine - Remy Pannier Rose,13
Appetizer - Shrimp Puff,18
Bread - Triangle White,14
Beer - Labatt Blue,9
Cherries - Fresh,2
Wine - Jaboulet Cotes Du Rhone,6
Chocolate - Milk Coating,16
Bread - Burger,5
Jicama,7
Bulgar,19
Pork - Smoked Kassler,17
Turnip - Mini,20
Sansho Powder,11
Cod - Fillets,10
Chips - Assorted,8
Mushroom - Porcini,8
Potatoes - Pei 10 Oz,11
Wine - White,10
Gloves - Goldtouch Disposable,9
Watercress,6
Table Cloth 54x72 White,18
Vinegar - Cider,5
Wine - Ruffino Chianti,14
Beans - Turtle,1
Bread - Mini Hamburger Bun,10
Bread - Pumpernickel,11
Shallots,2
Longos - Cheese Tortellini,12
Clams - Bay,9
Container - Foam Dixie 12 Oz,8
Yeast Dry - Fermipan,11
Lotus Rootlets - Canned,12
Tart - Pecan Butter Squares,9
Nut - Macadamia,15
Yoplait Drink,13
Red Currant Jelly,6
Horseradish Root,16
Soup - Campbells - Tomato,18
Chestnuts - Whole,5
Stainless Steel Cleaner Vision,15
Tomatoes - Yellow Hot House,20
Broom - Corn,18
Tortillas - Flour,13
Corn Syrup,7
Country Roll,9
Wine - Cahors Ac 2000,12
Salmon - Atlantic,15
Pie Filling - Cherry,19
Asparagus - Mexican,8
Corn - Mini,2
Pepper - Cubanelle,20
Carrots - Jumbo,3
Longos - Grilled Veg Sandwiches,17
Sauce Bbq Smokey,16
Squash - Guords,16
Pickerel - Fillets,7
Juice - V8 Splash,5
Lamb - Ground,4
Chevril,15
Chinese Foods - Chicken,13
Triple Sec - Mcguinness,1
Bagel - Everything,16
Latex Rubber Gloves Size 9,18
Cookies - Englishbay Chochip,2
Beans - Yellow,5
Lettuce - Sea / Sea Asparagus,10
Chicken - Wings,1
Pastrami,5
Lotus Rootlets - Canned,17
Silicone Parch. 16.3x24.3,19
Sunflower Seed Raw,18
Bread - Italian Roll With Herbs,3
Lettuce - Spring Mix,1
Napkin - Beverage 1 Ply,16
Sauce - Demi Glace,14
Dip - Tapenade,10
Pur Source,14
Syrup - Monin - Blue Curacao,10
Wine - Duboeuf Beaujolais,14
Squid - U 5,11
V8 - Berry Blend,2
Wine - Red,7
Guava,12
Garlic - Elephant,7
Pastry - French Mini Assorted,1
Tea - Apple Green Tea,4
Leeks - Large,14
Hold Up Tool Storage Rack,15
Juice - Grapefruit,10
Sambuca - Ramazzotti,17
Pails With Lids,16
Soupfoamcont12oz 112con,4
Soup Campbells Turkey Veg.,6
Chevril,17
Oil - Sesame,15
Juice - V8,8
Dill - Primerba,15
Oysters - Smoked,1
Tomatoes - Cherry,8
Cheese - Le Cheve Noir,18
Lettuce - Escarole,9
Cheese - Manchego,15
Green Scrubbie Pad H.duty,20
Peas - Pigeon,6
Appetizer - Chicken Satay,18
Pastry - Butterscotch Baked,7
Sun - Dried Tomatoes,2
Chick Peas - Dried,13
Milk - Buttermilk,13
Mushroom - Morels,7
Pasta - Penne,15
Appetizer - Asian Shrimp Roll,4
Wine - Sherry Dry Sack,17
Mushroom - Portebello,3
Doilies - 8,7
Sauce - Vodka Blush,17
Filo Dough,7
Beer - Fruli,4
Veal - Kidney,18
Lamb - Whole Head Off,2
Pectin,16
Stock - Chicken,7
Extract - Vanilla,1
Nut - Walnut,15
Muffins - Assorted,17
Pail With Metal Handle 16l White,20
Gloves - Goldtouch Disposable,7
Muffin Carrot - Individual,18
Cake - Sheet Strawberry,2
Wine - Toasted Head,19
Wine - George Duboeuf Rose,15
Chicken Breast Wing On,17
Crab - Blue,10
Capers - Ox Eye Daisy,9
Sole - Iqf,4
Rum - Spiced,9
Chicken - Breast,6
Wine - Casillero Del Diablo,16
Bread - Raisin Walnut Pull,16
Coffee Cup 8oz 5338cd,5
Spring Roll Wrappers,12
C - Plus,15
Wine - White,14
Soup - Campbells Beef Noodle,8
Lettuce - Romaine,12
Jagermeister,11
Chocolate - Liqueur Cups With Foil,17
Barramundi,14
Glass Clear 7 Oz Xl,1
Kellogs Cereal In A Cup,8
V8 - Berry Blend,19
Five Alive Citrus,7
Durian Fruit,19
Bread - Malt,3
Shiratamako - Rice Flour,3
Garbag Bags - Black,17
Table Cloth 72x144 White,7
Flour - Teff,7
Coffee - Hazelnut Cream,7
Longos - Chicken Cordon Bleu,15
Peas - Frozen,7
Tray - 16in Rnd Blk,8
Spring Roll Veg Mini,17
Apples - Spartan,5
Mushrooms - Black,18
Coffee Beans - Chocolate,8
Puree - Mocha,15
Bread - Pumpernickle,7
Lobster - Tail 6 Oz,4
Kahlua,16
Broom Handle,20
Table Cloth 72x144 White,20
Soup - Campbells Chili Veg,1
Syrup - Monin,10
Sugar - Invert,15
Chinese Lemon Pork,3
Bread Fig And Almond,9
Bread - Rolls,16
Oysters - Smoked,19
Muffin Batt - Choc Chk,11
Shopper Bag - S - 4,1
Waffle Stix,1
Bar Special K,12
Juice Peach Nectar,17
Tarragon - Fresh,12
Beans - Turtle,2
Scallops 60/80 Iqf,5
Cake - Box Window 10x10x2.5,16
Hot Choc Vending,5
Bread - Pumpernickel,18
Salmon - Canned,16
Flour - All Purpose,18
Emulsifier,13
Longos - Lasagna Beef,3
Broom And Broom Rack White,14
Appetizer - Seafood Assortment,9
Beef - Bones,16
Grapes - Green,8
Wine - Zinfandel Rosenblum,18
Lid Coffeecup 12oz D9542b,8
Salt - Table,2
Coffee - Ristretto Coffee Capsule,1
Juice Peach Nectar,20
Grand Marnier,20
Wine - Peller Estates Late,4
Tart - Pecan Butter Squares,10
Fib N9 - Prague Powder,11
Pepper - Chipotle,1
Danishes - Mini Cheese,2
Nut - Pecan,16
Lettuce - Arugula,19
Rhubarb,8
Chocolate - Dark Callets,6
Pate - Cognac,19
Wine - White,18
Baking Powder,5
Split Peas - Yellow,9
Yogurt - French Vanilla,6
Cup - 4oz Translucent,7
Wine - Ej Gallo Sierra Valley,20
Olive - Spread Tapenade,17
Triple Sec - Mcguinness,10
Thyme - Dried,12
Eggplant Italian,12
Ice Cream Bar - Drumstick,12
Mountain Dew,10
Mustard - Seed,3
Butter - Pod,17
Octopus - Baby,17
The Pop Shoppe - Cream Soda,7
Pastry - Lemon Danish - Mini,5
Squash - Acorn,8
Salmon - Atlantic,4
Coffee - Flavoured,5
Sauce - Salsa,3
Beef - Texas Style Burger,11
Milk - Condensed,4
Cheese - Shred Cheddar / Mozza,14
Chicken - Whole Roasting,14
Latex Rubber Gloves Size 9,11
Oil - Macadamia,12
Wine - Magnotta - Belpaese,20
Pork - Tenderloin,19
Walkers Special Old Whiskey,2
Sausage - Chorizo,13
Lettuce - Arugula,9
Lemonade - Kiwi,8
Black Currants,11
Crackers - Graham,9
Peas Snow,12
Godiva White Chocolate,12
Wine - Tio Pepe Sherry Fino,13
Food Colouring - Red,6
Muffin Hinge 117n,6
Jameson - Irish Whiskey,12
Yoplait - Strawbrasp Peac,19
Beef - Eye Of Round,20
Tequila Rose Cream Liquor,17
Pasta - Cappellini,3
Milk - 2%,9
Foie Gras,15
Bandage - Finger Cots,6
Garbage Bags - Clear,17
Grapes - Green,19
Nantucket Apple Juice,11
Bread - White,7
Cream Of Tartar,4
Beans - Black Bean,18
Cookie - Oatmeal,7
Pork - Tenderloin,9
Towels - Paper / Kraft,2
Lettuce - Romaine,6
Creme De Menthe Green,8
Gloves - Goldtouch Disposable,5
Pork Ham Prager,9
Bread - Kimel Stick Poly,20
Cheese - Mozzarella,10
Flower - Daisies,15
Mushroom - King Eryingii,4
Mussels - Cultivated,20
Coffee Beans - Chocolate,4
Table Cloth 90x90 Colour,1
Compound - Orange,12
Tea - Decaf 1 Cup,3
Squid - U 5,19
Syrup - Pancake,1
Dried Cranberries,9
Tuna - Canned,13
Bread - Raisin,3
Muffin Mix - Carrot,17
Wine - Chianti Classico Riserva,12
Marjoram - Fresh,18
Wine - Magnotta - Cab Sauv,19
Salmon - Smoked,1
Muffin Mix - Blueberry,9
Nantucket - 518ml,16
The Pop Shoppe - Root Beer,12
Turnip - White,9
Muffin Carrot - Individual,16
Mcguinness - Blue Curacao,12
Carbonated Water - White Grape,13
Olives - Nicoise,11
Onions - Cooking,1
Pastry - Butterscotch Baked,12
Cookies - Englishbay Wht,8
Beef Dry Aged Tenderloin Aaa,8
Jam - Blackberry,4
Garlic - Peeled,14
Flour - Whole Wheat,4
Salmon - Atlantic,1
Cod - Fillets,3
Wine - Rosso Del Veronese Igt,1
Bar Bran Honey Nut,19
Water - Mineral,7
Bread Sour Rolls,17
Puff Pastry - Slab,18
Icecream - Dstk Cml And Fdg,19
Appetizer - Mini Egg Roll,1
Sunflower Seed Raw,6
Ham - Procutinni,17
Stock - Beef,16
Coffee - Beans,19
Wine - White,13
Trueblue - Blueberry Cranberry,17
Sea Urchin,2
Beer - Upper Canada Light,5
Chicken - Base,19
Strawberries - California,12
Beer - Labatt Blue,13
Shallots,2
Wine - Periguita Fonseca,12
Lamb - Shoulder,15
V8 Pet,16
Beef - Chuck,15
Oil - Macadamia,7
Haggis,4
Phyllo Dough,6
Sauce - Soya,8
Cheese - Valancey,11
Oil - Pumpkinseed,6
Juice - Grapefruit,1
Maintenance Removal Charge,11
Pepper - Pablano,18
Muffin - Mix - Creme Brule 15l,16
Bread - Crumbs,3
Chinese Foods - Chicken Wing,1
Seedlings - Mix,19
Vinegar - Tarragon,11
Puff Pastry - Slab,18
Pork Casing,8
Tart Shells - Savory,4
Ice Cream Bar - Oreo Sandwich,7
Crab - Blue,11
Gelatine Leaves - Envelopes,17
Wine - Winzer Krems Gruner,8
Pork - Backfat,5
Tart Shells - Barquettes,12
Cheese - Blue,7
Beer - True North Strong Ale,18
Raisin - Dark,4
Juice - Pineapple,3
Juice - Orange 1.89l,18
Soup - Campbells Asian Noodle,14
Chick Peas - Dried,19
Bread - Petit Baguette,19
Syrup - Monin - Blue Curacao,17
Cheese - Parmigiano Reggiano,1
Mustard - Seed,6
Squash - Acorn,20
Tomatoes - Plum,1
Turkey - Breast,7
Sugar - Cubes,17
Beef - Tongue,19
Honey - Comb,12
Potatoes - Purple,5
Table Cloth 81x81 Colour,19
Split Peas - Green,19
Lobster - Base,13
Pie Filling - Cherry,19
Lemon Pepper,6
Flounder - Fresh,14
Beans - Long,2
Coffee - Decafenated,2
Wine - George Duboeuf Rose,8
Turnip - White,1
Wine - Niagara Peninsula Vqa,13
Club Soda - Schweppes,7
Radish - Pickled,18
Beer - True North Strong Ale,11
Rabbit - Legs,18
Bread - Focaccia Quarter,3
Knife Plastic - White,2
Apple - Fuji,17
Liqueur Banana,10
Gatorade - Fruit Punch,13
Lid - 3oz Med Rec,9
Salmon - Sockeye Raw,4
Lettuce - Lolla Rosa,4
Soap - Hand Soap,9
Couscous,13
Wine - Red Oakridge Merlot,13
Cactus Pads,20
Foam Cup 6 Oz,7
Bread - Ciabatta Buns,15
Crab - Dungeness,18
Ecolab - Hobart Upr Prewash Arm,7
Nut - Walnut,3
Samosa - Veg,4
Rosemary - Fresh,3
Puree - Kiwi,5
Energy Drink Red Bull,12
English Muffin,11
Wine - Pinot Noir Mondavi Coastal,7
Tandoori Curry Paste,14
Appetizer - Veg Assortment,12
Pork Loin Cutlets,17
Nut - Hazelnut,15
Wine - Barbera Alba Doc 2001,15
Milk - 2%,17
Beans - Black Bean,7
Cleaner - Comet,15
Chicken - Wieners,19
Bread - Wheat Baguette,3
Pepper - Chipotle,14
Food Colouring - Orange,6
Fennel - Seeds,1
Pork - Bacon Cooked Slcd,18
Hot Choc Vending,12
Crab - Claws,17
Bread - 10 Grain,3
Calypso - Strawberry Lemonade,1
Soup - Knorr,17
Oil - Olive Bertolli,11
Chicken - Bones,5
Pasta - Fett Alfredo,8
Straw - Regular,4
Kellogs Cereal In A Cup,3
Fish - Bones,15
Plate Foam Laminated 9in Blk,6
Lemons,17
Sugar - Cubes,14
Lamb - Rack,16
